id,code,name,parent_id:id,type,user_type:id,reconcile,"tax_ids:id","chart_template_id:id"
K2,b0,Företaget K2,,view,account.data_account_type_view,,,
k2_1,2,Balansräkning,K2,view,account.data_account_type_view,,,l10n_se.b
k2_10,2 AT,Anläggningstillgångar,k2_1,view,account.data_account_type_view,,,l10n_se.b
21k2,2 IAT,Immateriella anläggningstillgångar,k2_10,view,account.data_account_type_view,,,l10n_se.b
k2_1010,1010,"Balanserade utgifter ","21k2","other","account.data_account_type_asset","false",,l10n_se.b
k2_1011,1011,"Balanserade utgifter för forskning och utveckling ","21k2","other","account.data_account_type_asset","false",,l10n_se.b
k2_1012,1012,"Balanserade utgifter för programvaror ","21k2","other","account.data_account_type_asset","false",,l10n_se.b
k2_1018,1018,"Ackumulerade nedskrivningar på balanserade utgifter ","21k2","other","account.data_account_type_asset","false",,l10n_se.b
k2_1019,1019,"Ackumulerade avskrivningar på balanserade utgifter ","21k2","other","account.data_account_type_asset","false",,l10n_se.b
k2_1020,1020,"Koncessioner m.m. ","21k2","other","account.data_account_type_asset","false",,l10n_se.b
k2_1028,1028,"Ackumulerade nedskrivningar på koncessioner m.m. ","21k2","other","account.data_account_type_asset","false",,l10n_se.b
k2_1029,1029,"Ackumulerade avskrivningar på koncessioner m.m. ","21k2","other","account.data_account_type_asset","false",,l10n_se.b
k2_1030,1030,"Patent ","21k2","other","account.data_account_type_asset","false",,l10n_se.b
k2_1038,1038,"Ackumulerade nedskrivningar på patent ","21k2","other","account.data_account_type_asset","false",,l10n_se.b
k2_1039,1039,"Ackumulerade avskrivningar på patent ","21k2","other","account.data_account_type_asset","false",,l10n_se.b
k2_1040,1040,"Licenser ","21k2","other","account.data_account_type_asset","false",,l10n_se.b
k2_1048,1048,"Ackumulerade nedskrivningar på licenser ","21k2","other","account.data_account_type_asset","false",,l10n_se.b
k2_1049,1049,"Ackumulerade avskrivningar på licenser ","21k2","other","account.data_account_type_asset","false",,l10n_se.b
k2_1050,1050,"Varumärken ","21k2","other","account.data_account_type_asset","false",,l10n_se.b
k2_1058,1058,"Ackumulerade nedskrivningar på varumärken ","21k2","other","account.data_account_type_asset","false",,l10n_se.b
k2_1059,1059,"Ackumulerade avskrivningar på varumärken ","21k2","other","account.data_account_type_asset","false",,l10n_se.b
k2_1060,1060,"Hyresrätter, tomträtter och liknande","21k2","other","account.data_account_type_asset","false",,l10n_se.b
k2_1068,1068,"Ackumulerade nedskrivningar på hyresrätter, tomträtter och liknande ","21k2","other","account.data_account_type_asset","false",,l10n_se.b
k2_1069,1069,"Ackumulerade avskrivningar på hyresrätter, tomträtter och liknande ","21k2","other","account.data_account_type_asset","false",,l10n_se.b
k2_1070,1070,"Goodwill ","21k2","other","account.data_account_type_asset","false",,l10n_se.b
k2_1078,1078,"Ackumulerade nedskrivningar på goodwill ","21k2","other","account.data_account_type_asset","false",,l10n_se.b
k2_1079,1079,"Ackumulerade avskrivningar på goodwill ","21k2","other","account.data_account_type_asset","false",,l10n_se.b
k2_1080,1080,"Pågående projekt och förskott för immateriella anläggningstillgångar ","21k2","other","account.data_account_type_asset","false",,l10n_se.b
k2_1081,1081,"Pågående projekt för immateriella anläggningstillgångar ","21k2","other","account.data_account_type_asset","false",,l10n_se.b
22k2,2.2,Förskott avseende immateriella anläggningstillgångar,k2_10,view,account.data_account_type_view,,,l10n_se.b
k2_1088,1088,"Förskott för immateriella anläggningstillgångar ","22k2","other","account.data_account_type_asset","false",,l10n_se.b
23k2a,2 MAT,Materiella anläggningstillgångar,k2_10,view,account.data_account_type_view,,,l10n_se.b
23k2,2.3,Byggnader och mark,23k2a,view,account.data_account_type_view,,bI,l10n_se.b
k2_1110,1110,"Byggnader ","23k2","other","account.data_account_type_asset","false",bI,l10n_se.b
k2_1111,1111,"Byggnader på egen mark ","23k2","other","account.data_account_type_asset","false",bI,l10n_se.b
k2_1112,1112,"Byggnader på annans mark ","23k2","other","account.data_account_type_asset","false",bI,l10n_se.b
k2_1118,1118,"Ackumulerade nedskrivningar på byggnader ","23k2","other","account.data_account_type_asset","false",bI,l10n_se.b
k2_1119,1119,"Ackumulerade avskrivningar på byggnader ","23k2","other","account.data_account_type_asset","false",bI,l10n_se.b
25k2,2.5,Förbättringsutgifter på annans fastighet,k2_10,view,account.data_account_type_view,,,l10n_se.b
k2_1120,1120,"Förbättringsutgifter på annans fastighet","25k2","other","account.data_account_type_asset","false",bI,l10n_se.b
k2_1129,1129,"Ackumulerade avskrivningar på förbättringsutgifter på annans fastighet","25k2","other","account.data_account_type_asset","false",bI,l10n_se.b
k2_1130,1130,"Mark ","23k2","other","account.data_account_type_asset","false",bI,l10n_se.b
k2_1140,1140,"Tomter och obebyggda markområden ","23k2","other","account.data_account_type_asset","false",bI,l10n_se.b
k2_1150,1150,"Markanläggningar ","23k2","other","account.data_account_type_asset","false",bI,l10n_se.b
k2_1158,1158,"Ackumulerade nedskrivningar på markanläggningar ","23k2","other","account.data_account_type_asset","false",bI,l10n_se.b
k2_1159,1159,"Ackumulerade avskrivningar på markanläggningar ","23k2","other","account.data_account_type_asset","false",bI,l10n_se.b
26k2,2.6,Pågående nyanläggningar och förskott avseende materiella anläggningstillgångar,k2_10,view,account.data_account_type_view,,,l10n_se.b
k2_1180,1180,"Pågående nyanläggningar och förskott för byggnader och mark ","26k2","other","account.data_account_type_asset","false",bI,l10n_se.b
k2_1181,1181,"Pågående ny-, till- och ombyggnad ","26k2","other","account.data_account_type_asset","false",bI,l10n_se.b
k2_1188,1188,"Förskott för byggnader och mark ","26k2","other","account.data_account_type_asset","false",bI,l10n_se.b
24k2,2.4,Byggnader och mark,k2_10,view,account.data_account_type_view,,bI,l10n_se.b
k2_1210,1210,"Maskiner och andra tekniska anläggningar ","24k2","other","account.data_account_type_asset","false",bI,l10n_se.b
k2_1211,1211,"Maskiner ","24k2","other","account.data_account_type_asset","false",bI,l10n_se.b
k2_1213,1213,"Andra tekniska anläggningar ","24k2","other","account.data_account_type_asset","false",bI,l10n_se.b
k2_1218,1218,"Ackumulerade nedskrivningar på maskiner och andra tekniska anläggningar ","24k2","other","account.data_account_type_asset","false",bI,l10n_se.b
k2_1219,1219,"Ackumulerade avskrivningar på maskiner och andra tekniska anläggningar ","24k2","other","account.data_account_type_asset","false",bI,l10n_se.b
k2_1220,1220,"Inventarier och verktyg ","24k2","other","account.data_account_type_asset","false",bI,l10n_se.b
k2_1221,1221,"Inventarier ","24k2","other","account.data_account_type_asset","false",bI,l10n_se.b
k2_1222,1222,"Byggnadsinventarier ","24k2","other","account.data_account_type_asset","false",bI,l10n_se.b
k2_1223,1223,"Markinventarier ","24k2","other","account.data_account_type_asset","false",bI,l10n_se.b
k2_1225,1225,"Verktyg ","24k2","other","account.data_account_type_asset","false",bI,l10n_se.b
k2_1228,1228,"Ackumulerade nedskrivningar på inventarier och verktyg ","24k2","other","account.data_account_type_asset","false",bI,l10n_se.b
k2_1229,1229,"Ackumulerade avskrivningar på inventarier och verktyg ","24k2","other","account.data_account_type_asset","false",bI,l10n_se.b
k2_1230,1230,"Installationer ","24k2","other","account.data_account_type_asset","false",bI,l10n_se.b
k2_1231,1231,"Installationer på egen fastighet ","24k2","other","account.data_account_type_asset","false",bI,l10n_se.b
k2_1232,1232,"Installationer på annans fastig het ","24k2","other","account.data_account_type_asset","false",bI,l10n_se.b
k2_1238,1238,"Ackumulerade nedskrivningar på installationer ","24k2","other","account.data_account_type_asset","false",bI,l10n_se.b
k2_1239,1239,"Ackumulerade avskrivningar på installationer ","24k2","other","account.data_account_type_asset","false",bI,l10n_se.b
k2_1240,1240,"Bilar och andra transportmedel ","24k2","other","account.data_account_type_asset","false",bI,l10n_se.b
k2_1241,1241,"Personbilar ","24k2","other","account.data_account_type_asset","false",bI,l10n_se.b
k2_1242,1242,"Lastbilar ","24k2","other","account.data_account_type_asset","false",bI,l10n_se.b
k2_1243,1243,"Truckar ","24k2","other","account.data_account_type_asset","false",bI,l10n_se.b
k2_1244,1244,"Arbetsmaskiner ","24k2","other","account.data_account_type_asset","false",bI,l10n_se.b
k2_1245,1245,"Traktorer ","24k2","other","account.data_account_type_asset","false",bI,l10n_se.b
k2_1246,1246,"Motorcyklar, mopeder och skotrar ","24k2","other","account.data_account_type_asset","false",bI,l10n_se.b
k2_1247,1247,"Båtar, flygplan och helikoptrar ","24k2","other","account.data_account_type_asset","false",bI,l10n_se.b
k2_1248,1248,"Ackumulerade nedskrivningar på bilar och andra transportmedel ","24k2","other","account.data_account_type_asset","false",bI,l10n_se.b
k2_1249,1249,"Ackumulerade avskrivningar på bilar och andra transportmedel ","24k2","other","account.data_account_type_asset","false",bI,l10n_se.b
k2_1250,1250,"Datorer ","24k2","other","account.data_account_type_asset","false",bI,l10n_se.b
k2_1251,1251,"Datorer, företaget ","24k2","other","account.data_account_type_asset","false",bI,l10n_se.b
k2_1257,1257,"Datorer, personal ","24k2","other","account.data_account_type_asset","false",bI,l10n_se.b
k2_1258,1258,"Ackumulerade nedskrivningar på datorer ","24k2","other","account.data_account_type_asset","false",bI,l10n_se.b
k2_1259,1259,"Ackumulerade avskrivningar på datorer ","24k2","other","account.data_account_type_asset","false",bI,l10n_se.b
k2_1260,1260,"Leasade tillgångar ","24k2","other","account.data_account_type_asset","false",bI,l10n_se.b
k2_1269,1269,"Ackumulerade avskrivningar på leasade tillgångar ","24k2","other","account.data_account_type_asset","false",bI,l10n_se.b
k2_1280,1280,"Pågående nyanläggningar och förskott för maskiner och inventarier ","26k2","other","account.data_account_type_asset","false",bI,l10n_se.b
k2_1281,1281,"Pågående nyanläggningar, maskiner och inventarier ","26k2","other","account.data_account_type_asset","false",bI,l10n_se.b
k2_1288,1288,"Förskott för maskiner och inventarier ","26k2","other","account.data_account_type_asset","false",bI,l10n_se.b
k2_1290,1290,"Övriga materiella anläggningstillgångar ","24k2","other","account.data_account_type_asset","false",bI,l10n_se.b
k2_1291,1291,"Konst och liknande tillgångar ","24k2","other","account.data_account_type_asset","false",bI,l10n_se.b
k2_1292,1292,"Djur som klassificeras som anläggningstillgång","24k2","other","account.data_account_type_asset","false",bI,l10n_se.b
k2_1298,1298,"Ackumulerade nedskrivningar på övriga materiella anläggningstillgångar ","24k2","other","account.data_account_type_asset","false",bI,l10n_se.b
k2_1299,1299,"Ackumulerade avskrivningar på övriga materiella anläggningstillgångar ","24k2","other","account.data_account_type_asset","false",bI,l10n_se.b
k2_10a,2 FAT,Finansiella anläggningstillgångar,k2_10,view,account.data_account_type_view,,,l10n_se.b
27k2,2.7,Andelar i koncernföretag,k2_10a,view,account.data_account_type_view,,,l10n_se.b
k2_1310,1310,"Andelar i koncernföretag ","27k2","other","account.data_account_type_asset","false",,l10n_se.b
k2_1311,1311,"Andelar i svenska dotterföretag ","27k2","other","account.data_account_type_asset","false",,l10n_se.b
k2_1312,1312,"Andelar i utländska dotterföretag ","27k2","other","account.data_account_type_asset","false",,l10n_se.b
k2_1313,1313,"Andelar i andra svenska koncernföretag ","27k2","other","account.data_account_type_asset","false",,l10n_se.b
k2_1314,1314,"Andelar i andra utländska koncernföretag ","27k2","other","account.data_account_type_asset","false",,l10n_se.b
k2_1316,1316,"Andelar i ekonomiska föreningar, koncernföretag","27k2","other","account.data_account_type_asset","false",,l10n_se.b
k2_1318,1318,"Ackumulerade nedskrivningar av andelar i koncernföretag ","27k2","other","account.data_account_type_asset","false",,l10n_se.b
29k2,2.9,Fordringar hos koncern- och intresseföretag,k2_10a,view,account.data_account_type_view,,,l10n_se.b
k2_1320,1320,"Långfristiga fordringar hos koncernföretag ","29k2","other","account.data_account_type_asset","false",,l10n_se.b
k2_1321,1321,"Långfristiga fordringar hos moderföretag ","29k2","other","account.data_account_type_asset","false",,l10n_se.b
k2_1322,1322,"Långfristiga fordringar hos dotterföretag ","29k2","other","account.data_account_type_asset","false",,l10n_se.b
k2_1323,1323,"Långfristiga fordringar hos andra koncernföretag ","29k2","other","account.data_account_type_asset","false",,l10n_se.b
k2_1328,1328,"Ackumulerade nedskrivningar av långfristiga fordringar hos koncernföretag ","29k2","other","account.data_account_type_asset","false",,l10n_se.b
28k2,2.8,Andelar i intresseföretag,k2_10a,view,account.data_account_type_view,,,l10n_se.b
k2_1330,1330,"Andelar i intresseföretag ","28k2","other","account.data_account_type_asset","false",,l10n_se.b
k2_1336,1336,"Andelar i ekonomiska föreningar, intresseföretag","28k2","other","account.data_account_type_asset","false",,l10n_se.b
k2_1338,1338,"Ackumulerade nedskrivningar av andelar i intresseföretag ","28k2","other","account.data_account_type_asset","false",,l10n_se.b
k2_1340,1340,"Långfristiga fordringar hos intresseföretag ","29k2","other","account.data_account_type_asset","false",,l10n_se.b
k2_1348,1348,"Ackumulerade nedskrivningar av långfristiga fordringar hos intresseföretag ","29k2","other","account.data_account_type_asset","false",,l10n_se.b
210k2,2.10,Andra långfristiga värdepappersinnehav,k2_10a,view,account.data_account_type_view,,,l10n_se.b
k2_1350,1350,"Andelar och värdepapper i andra företag ","210k2","other","account.data_account_type_asset","false",,l10n_se.b
k2_1351,1351,"Andelar i börsnoterade företag ","210k2","other","account.data_account_type_asset","false",,l10n_se.b
k2_1352,1352,"Andra andelar ","210k2","other","account.data_account_type_asset","false",,l10n_se.b
k2_1353,1353,"Andelar i bostadsrättsföreningar ","210k2","other","account.data_account_type_asset","false",,l10n_se.b
k2_1354,1354,"Obligationer ","210k2","other","account.data_account_type_asset","false",,l10n_se.b
k2_1356,1356,"Andelar i ekonomiska föreningar, övriga företag","210k2","other","account.data_account_type_asset","false",,l10n_se.b
k2_1358,1358,"Ackumulerade nedskrivningar av andra andelar och värdepapper ","210k2","other","account.data_account_type_asset","false",,l10n_se.b
211ak2,2.11,Lån till delägare eller närstående,k2_10a,view,account.data_account_type_view,,,l10n_se.b
k2_1360,1360,"Lån till delägare eller närstående, långfristig del","211ak2","other","account.data_account_type_asset","false",,l10n_se.b
k2_1369,1369,"Ackumulerade nedskrivningar på lån till delägare eller närstående, långfristig del","211ak2","other","account.data_account_type_asset","false",,l10n_se.b
211bk2,2.11b,Andra långfristiga fordringar,k2_10a,view,account.data_account_type_view,,,l10n_se.b
k2_1370,1370,"Uppskjuten skattefordran ","211bk2","other","account.data_account_type_asset","false",,l10n_se.b
k2_1380,1380,"Andra långfristiga fordringar ","211bk2","other","account.data_account_type_asset","false",,l10n_se.b
k2_1381,1381,"Långfristiga reversfordringar ","211bk2","other","account.data_account_type_asset","false",,l10n_se.b
k2_1382,1382,"Långfristiga fordringar hos anställda ","211bk2","other","account.data_account_type_asset","false",,l10n_se.b
k2_1383,1383,"Lämnade depositioner, långfristiga ","211bk2","other","account.data_account_type_asset","false",,l10n_se.b
k2_1384,1384,"Derivat","211bk2","other","account.data_account_type_asset","false",,l10n_se.b
k2_1385,1385,"Värde av kapitalförsäkring ","211bk2","other","account.data_account_type_asset","false",,l10n_se.b
k2_1386,1386,"Förutbetalda leasingavgifter, långfristig del ","211bk2","other","account.data_account_type_asset","false",,l10n_se.b
k2_1387,1387,"Långfristiga kontraktsfordringar ","211bk2","other","account.data_account_type_asset","false",,l10n_se.b
k2_1389,1389,"Ackumulerade nedskrivningar av andra långfristiga fordringar ","211bk2","other","account.data_account_type_asset","false",,l10n_se.b
k2_14a,2 OT,Omsättningstillgångar,k2_10,view,account.data_account_type_view,,,l10n_se.b
k2_14,2 VL,Varulager,k2_1,view,account.data_account_type_view,,,l10n_se.b
213k2,2.13,Råvaror och förnödenheter,k2_14,view,account.data_account_type_view,,,l10n_se.b
k2_1410,1410,"Lager av råvaror ","213k2","other","account.data_account_type_asset","false",,l10n_se.b
k2_1419,1419,"Förändring av lager av råvaror ","213k2","other","account.data_account_type_asset","false",,l10n_se.b
k2_1420,1420,"Lager av tillsatsmaterial och förnödenheter ","213k2","other","account.data_account_type_asset","false",,l10n_se.b
k2_1429,1429,"Förändring av lager av tillsatsmaterial och förnödenheter ","213k2","other","account.data_account_type_asset","false",,l10n_se.b
k2_1430,1430,"Lager av halvfabrikat ","213k2","other","account.data_account_type_asset","false",,l10n_se.b
k2_1431,1431,"Lager av köpta halvfabrikat ","213k2","other","account.data_account_type_asset","false",,l10n_se.b
214k2,2.14,Varor under tillverkning,k2_14,view,account.data_account_type_view,,,l10n_se.b
k2_1432,1432,"Lager av egentillverkade halvfabrikat ","214k2","receivable","account.data_account_type_receivable","true",,l10n_se.b
k2_1438,1438,"Förändring av lager av köpta halvfabrikat","213k2","other","account.data_account_type_asset","false",,l10n_se.b
k2_1439,1439,"Förändring av lager av egentillverkade halvfabrikat ","214k2","receivable","account.data_account_type_receivable","true",,l10n_se.b
k2_1440,1440,"Produkter i arbete ","214k2","receivable","account.data_account_type_receivable","true",,l10n_se.b
k2_1449,1449,"Förändring av produkter i arbete ","214k2","receivable","account.data_account_type_receivable","true",,l10n_se.b
215k2,2.15,Färdiga varor och handelsvaror,k2_14,view,account.data_account_type_view,,,l10n_se.b
k2_1450,1450,"Lager av färdiga varor ","215k2","receivable","account.data_account_type_receivable","true",,l10n_se.b
k2_1459,1459,"Förändring av lager av färdiga varor ","215k2","receivable","account.data_account_type_receivable","true",,l10n_se.b
k2_1460,1460,"Lager av handelsvaror ","215k2","receivable","account.data_account_type_receivable","true",,l10n_se.b
k2_1465,1465,"Lager av varor VMB","215k2","receivable","account.data_account_type_receivable","true",,l10n_se.b
k2_1466,1466,"Nedskrivning av varor VMB","215k2","receivable","account.data_account_type_receivable","true",,l10n_se.b
k2_1467,1467,"Lager av varor VMB förenklad","215k2","receivable","account.data_account_type_receivable","true",,l10n_se.b
k2_1469,1469,"Förändring av lager av handelsvaror ","215k2","receivable","account.data_account_type_receivable","true",,l10n_se.b
217k2,2.17,Pågående arbeten för annans räkning,k2_14,view,account.data_account_type_view,,,l10n_se.b
